MONTH,YEAR,EKO_TOTAL,EKO_AVG,IKEJA_TOTAL,IKEJA_AVG,LAGOS_TOTAL,LAGOS_AVG
2013-11-01,2013,148888880.0,206.79011111111112,232820680.0,323.3620555555555,381709560.0,530.1521666666666
2013-12-01,2013,160682900.0,215.97163978494623,265414950.0,356.74052419354837,426097850.0,572.7121639784946
2014-01-01,2014,146166640.0,196.4605376344086,243653790.0,327.4916532258065,389820430.0,523.9521908602151
2014-02-01,2014,144460020.0,214.97026785714283,281824330.0,419.381443452381,426284350.0,634.3517113095238
2014-03-01,2014,150174340.0,201.84723118279572,269371940.0,362.05905913978495,419546280.0,563.9062903225806
2014-04-01,2014,153454740.0,213.13158333333334,262727530.0,364.8993472222223,416182270.0,578.0309305555556
2014-05-01,2014,211446400.0,284.2021505376344,312477210.0,419.99625,523923610.0,704.1984005376344
2014-06-01,2014,151675860.0,210.66091666666668,247820430.0,344.19504166666667,399496290.0,554.8559583333333
2014-07-01,2014,164326030.0,220.86831989247312,256046730.0,344.1488306451613,420372760.0,565.0171505376344
2014-08-01,2014,218377210.0,293.5177553763441,318629900.0,428.2659946236559,537007110.0,721.78375
2014-09-01,2014,206130970.0,286.2930138888889,302015990.0,419.46665277777777,508146960.0,705.7596666666666
2014-10-01,2014,231014380.0,310.5031989247312,326272780.0,438.5386827956989,557287160.0,749.0418817204301
2014-11-01,2014,217990450.0,302.76451388888887,308983290.0,429.14345833333334,526973740.0,731.9079722222223
2014-12-01,2014,211697780.0,284.54002688172045,316578410.0,425.5086155913978,528276190.0,710.0486424731182
2015-01-01,2015,215981540.0,290.29776881720426,320513510.0,430.7977284946237,536495050.0,721.095497311828
2015-02-01,2015,172486910.0,256.6769494047619,279912760.0,416.5368452380952,452399670.0,673.2137946428571
2015-03-01,2015,182713460.0,245.58260752688173,309958820.0,416.6113172043011,492672280.0,662.1939247311828
2015-04-01,2015,161602390.0,224.4477638888889,248790830.0,345.54281944444443,410393220.0,569.9905833333333
2015-05-01,2015,138221110.0,185.78106182795696,220243730.0,296.0265188172043,358464840.0,481.80758064516124
2015-06-01,2015,207956900.0,288.8290277777778,298195160.0,414.1599444444444,506152060.0,702.9889722222222
2015-07-01,2015,273482620.0,367.58416666666665,362002810.0,486.5629166666667,635485430.0,854.1470833333333
2015-08-01,2015,288311890.0,387.5159811827957,377101700.0,506.85712365591394,665413590.0,894.3731048387097
2015-09-01,2015,284980970.0,395.80690277777774,368952250.0,512.4336805555556,653933220.0,908.2405833333333
2015-10-01,2015,251399430.0,337.90245967741936,327690370.0,440.44404569892475,579089800.0,778.3465053763441
2015-11-01,2015,236102220.0,327.91975,322836050.0,448.38340277777775,558938270.0,776.3031527777778
2015-12-01,2015,223716760.0,300.6945698924731,323803380.0,435.2195967741935,547520140.0,735.9141666666667
2016-01-01,2016,235480320.0,316.5058064516129,340429890.0,457.5670564516129,575910210.0,774.0728629032258
2016-02-01,2016,176616330.0,253.7590948275862,260553570.0,374.35857758620693,437169900.0,628.1176724137931
2016-03-01,2016,147793360.0,198.64698924731184,236955960.00000006,318.48919354838716,384749320.00000006,517.136182795699
2016-04-01,2016,103673914.29172263,143.99154762739255,197498559.99999997,274.3035555555555,301172474.2917226,418.295103182948
2016-05-01,2016,87235879.96152122,117.25252683000164,180230080.0,242.2447311827957,267465959.9615212,359.4972580127974
2016-06-01,2016,72260024.99981546,100.36114583307703,156889580.0,217.90219444444446,229149604.99981546,318.2633402775215
2016-07-01,2016,129524014.21,174.09141694892472,219141689.99999997,294.5452822580645,348665704.21,468.6366992069892
2016-08-01,2016,200079414.65218565,268.92394442498073,279358320.00000006,375.4816129032259,479437734.6521857,644.4055573282067
2016-09-01,2016,212516774.42,295.1621866944444,276489310.0,384.01293055555556,489006084.41999996,679.17511725
2016-10-01,2016,212533097.3808443,285.66276529683375,267214330.0,359.1590456989248,479747427.3808443,644.8218109957586
2016-11-01,2016,198674568.2200956,275.93690030568837,246262319.99999994,342.03099999999995,444936888.2200955,617.9679003056883
2016-12-01,2016,206373247.54440063,277.3833972370976,225188670.0,302.67294354838714,431561917.54440063,580.0563407854847
2017-01-01,2017,170648052.83752507,229.36566241602833,217105480.0,291.80844086021506,387753532.83752507,521.1741032762434
2017-02-01,2017,235516030.0,350.47028273809525,217978840.0,324.3732738095238,453494870.0,674.8435565476191
2017-03-01,2017,267136540.0,359.05448924731184,245103030.0,329.4395564516129,512239570.0,688.4940456989248
2017-04-01,2017,242477890.0,336.7748472222222,226305460.0,314.3131388888889,468783350.0,651.0879861111111
2017-05-01,2017,265916450.0,357.4145833333333,238322450.0,320.325873655914,504238900.0,677.7404569892474
2017-06-01,2017,270710960.0,375.9874444444444,221938490.0,308.24790277777777,492649450.0,684.2353472222221
2017-07-01,2017,225783180.0,303.4720161290322,229248680.0,308.12994623655914,455031860.0,611.6019623655914
2017-08-01,2017,241423940.0,324.4945430107527,241805270.0,325.00708333333336,483229210.0,649.501626344086
2017-09-01,2017,239315660.0,332.38286111111114,243998360.0,338.8866111111111,483314020.0,671.2694722222222
2017-10-01,2017,263984850.0,354.8183467741935,254924520.0,342.6404838709678,518909370.0,697.4588306451612
2017-11-01,2017,281588000.0,391.09444444444443,247581400.0,343.86305555555555,529169400.0,734.9575
2017-12-01,2017,286998610.0,385.75081989247315,288912320.0,388.32301075268816,575910930.0,774.0738306451613
2018-01-01,2018,254586580.0,342.1862634408602,264545950.0,355.5725134408602,519132530.0,697.7587768817205
2018-02-01,2018,256223630.0,381.2851636904762,274175090.0,407.99864583333334,530398720.0,789.2838095238096
2018-03-01,2018,298115020.0,400.6922311827957,316061010.0,424.81318548387094,614176030.0,825.5054166666666
2018-04-01,2018,294566010.0,409.11945833333334,302293000.0,419.8513888888889,596859010.0,828.9708472222222
2018-05-01,2018,256356340.0,344.56497311827957,287500440.0,386.4253225806452,543856780.0,730.9902956989247
2018-06-01,2018,250276860.0,347.60675,267145010.0,371.0347361111111,517421870.0,718.6414861111111
2018-07-01,2018,257299270.0,345.83235215053764,284318920.0,382.14908602150535,541618190.0,727.981438172043
2018-08-01,2018,259354040.0,348.5941397849462,294152580.0,395.3663709677419,553506620.0,743.9605107526882
2018-09-01,2018,230525190.0,320.173875,277169600.0,384.9577777777778,507694790.0,705.1316527777778
2018-10-01,2018,268774470.0,361.2560080645161,303800650.0,408.33420698924726,572575120.0,769.5902150537634
2018-11-01,2018,288069170.0,400.0960694444444,311428990.0,432.5402638888889,599498160.0,832.6363333333334
2018-12-01,2018,301394310.0,405.0998790322581,329198320.0,442.47086021505373,630592630.0,847.5707392473118
2019-01-01,2019,285534270.0,383.7826209677419,306445220.0,411.8887365591398,591979490.0,795.6713575268816
2019-02-01,2019,275431890.0,409.86888392857145,288968770.0,430.0130505952381,564400660.0,839.8819345238096
2019-03-01,2019,312392260.0,419.8820698924731,334988070.0,450.2527822580645,647380330.0,870.1348521505377
2019-04-01,2019,262838980.0,365.05413888888893,295722690.0,410.7259583333333,558561670.0,775.7800972222223
2019-05-01,2019,276604130.0,371.7797446236559,350903900.0,471.6450268817204,627508030.0,843.4247715053764
2019-06-01,2019,250816120.0,348.3557222222222,308064180.0,427.86691666666667,558880300.0,776.2226388888889
2019-07-01,2019,275539560.0,370.3488709677419,318420600.0,427.98467741935485,593960160.0,798.3335483870967
2019-08-01,2019,295432350.0,397.0864919354839,326007800.0,438.1825268817204,621440150.0,835.2690188172043
2019-09-01,2019,266622360.0,370.3088333333333,308802170.0,428.8919027777778,575424530.0,799.2007361111112
2019-10-01,2019,261083740.0,350.9190053763441,311426030.0,418.58337365591393,572509770.0,769.502379032258
2019-11-01,2019,294987980.0,409.7055277777778,336584540.0,467.47852777777774,631572520.0,877.1840555555555
2019-12-01,2019,300734860.0,404.2135215053763,364084690.0,489.3611424731183,664819550.0,893.5746639784946
2020-01-01,2020,295088730.0,396.6246370967742,352621540.0,473.9536827956989,647710270.0,870.5783198924731
2020-02-01,2020,292022030.0,419.57188218390803,338268790.0,486.0183764367816,630290820.0,905.5902586206896
2020-03-01,2020,277242800.0,372.63817204301074,374086360.0,502.80424731182796,651329160.0,875.4424193548386
2020-04-01,2020,303685460.0,421.78536111111106,375076080.0,520.939,678761540.0,942.724361111111
2020-05-01,2020,316674820.0,425.63819892473117,392944860.0,528.151693548387,709619680.0,953.7898924731182
2020-06-01,2020,262053608.0,363.9633444444445,350285880.0,486.5081666666667,612339488.0,850.4715111111111
2020-07-01,2020,277581710.0,373.09369623655914,369878390.0,497.14837365591393,647460100.0,870.2420698924731
2020-08-01,2020,291061040.0,391.21107526881724,348309020.0,468.15728494623653,639370060.0,859.3683602150538
2020-09-01,2020,273260720.0,379.52877777777775,309083548.0,429.28270555555554,582344268.0,808.8114833333333
2020-10-01,2020,311259240.0,418.35919354838705,318111920.0,427.56978494623655,629371160.0,845.9289784946236
2020-11-01,2020,311740390.0,432.9727638888889,310333030.0,431.01809722222225,622073420.0,863.9908611111111
2020-12-01,2020,345688250.0,464.63474462365593,413146400.0,555.3043010752689,758834650.0,1019.9390456989248
2021-01-01,2021,348658300.0,468.62674731182796,424177790.0,570.131438172043,772836090.0,1038.7581854838709
2021-02-01,2021,316897190.0,471.5731994047619,393387100.0,585.3974702380953,710284290.0,1056.970669642857
2021-03-01,2021,309763990.0,416.3494489247312,398147930.0,535.1450672043011,707911920.0,951.4945161290323
2021-04-01,2021,286224070.0,397.5334305555556,370887770.0,515.1219027777778,657111840.0,912.6553333333334
2021-05-01,2021,294436380.0,395.74782258064516,388481230.0,522.152190860215,682917610.0,917.9000134408602
2021-06-01,2021,260905520.0,362.3687777777778,352438060.0,489.49730555555556,613343580.0,851.8660833333333
2021-07-01,2021,280559490.0,377.0960887096774,367581610.0,494.0613037634409,648141100.0,871.1573924731183
2021-08-01,2021,301582200.0,405.35241935483873,374168280.0,502.91435483870964,675750480.0,908.2667741935484
2021-09-01,2021,264696640.0,367.63422222222226,343139690.0,476.58290277777775,607836330.0,844.217125
2021-10-01,2021,307066960.0,412.72440860215056,374247220.0,503.0204569892473,681314180.0,915.7448655913979
2021-11-01,2021,295094660.0,409.85369444444444,372096540.0,516.80075,667191200.0,926.6544444444444
2021-12-01,2021,324780110.0,436.5324059139785,418776150.0,562.8711693548387,743556260.0,999.4035752688171
2022-01-01,2022,296401030.0,398.3884811827957,394602070.0,530.3791263440861,691003100.0,928.7676075268819
2022-02-01,2022,251610440.0,374.42029761904763,331971940.0,494.0058630952381,583582380.0,868.4261607142857
2022-03-01,2022,215505570.0,289.6580241935484,306663230.0,412.18176075268815,522168800.0,701.8397849462365
2022-04-01,2022,230943620.0,320.7550277777778,308843410.0,428.9491805555556,539787030.0,749.7042083333333
2022-05-01,2022,257566350.0,346.1913306451613,322923840.0,434.03741935483873,580490190.0,780.22875
2022-06-01,2022,199113640.0,276.54672222222223,254814650.0,353.9092361111111,453928290.0,630.4559583333333
2022-07-01,2022,225832910.0,303.5388575268817,310279810.0,417.0427553763441,536112720.0,720.5816129032257
2022-08-01,2022,273463020.0,367.55782258064517,354240410.0,476.12958333333336,627703430.0,843.6874059139785
2022-09-01,2022,262968010.0,365.2333472222222,363973770.0,505.519125,626941780.0,870.7524722222222
2022-10-01,2022,269802920.0,362.6383333333333,343228440.0,461.3285483870968,613031360.0,823.9668817204301
2022-11-01,2022,306400160.0,425.55577777777773,367686220.0,510.67530555555555,674086380.0,936.2310833333333
2022-12-01,2022,337638810.0,453.81560483870965,404634930.0,543.8641532258065,742273740.0,997.6797580645161
2023-01-01,2023,294804640.0,396.2427956989248,360398140.0,484.4061021505376,655202780.0,880.6488978494624
2023-02-01,2023,299032810.0,444.9893005952381,366112500.0,544.8102678571429,665145310.0,989.799568452381
2023-03-01,2023,333485540.0,448.23325268817206,415401500.0,558.3353494623656,748887040.0,1006.5686021505376
2023-04-01,2023,287705950.0,399.5915972222223,361913610.0,502.65779166666664,649619560.0,902.2493888888889
2023-05-01,2023,313056200.0,420.77446236559143,380390990.0,511.27821236559146,693447190.0,932.0526747311828
2023-06-01,2023,295767170.0,410.7877361111111,376356030.0,522.7167083333334,672123200.0,933.5044444444445
2023-07-01,2023,314939020.0,423.30513440860216,385760530.0,518.4953360215054,700699550.0,941.8004704301076
2023-08-01,2023,330275030.0,443.91805107526886,400380620.0,538.145994623656,730655650.0,982.0640456989248
2023-09-01,2023,292688020.0,406.5111388888889,363577370.0,504.9685694444444,656265390.0,911.4797083333333
2023-10-01,2023,337313740.0,453.3786827956989,404295230.0,543.4075672043011,741608970.0,996.7862500000001
2023-11-01,2023,353575440.0,491.077,408315170.0,567.1044027777778,761890610.0,1058.1814027777777
2023-12-01,2023,347824540.0,467.50610215053763,402693470.0,541.2546639784946,750518010.0,1008.7607661290322
2024-01-01,2024,357449250.0,480.4425403225806,408051370.0,548.4561424731183,765500620.0,1028.898682795699
2024-02-01,2024,261785050.0,376.12794540229885,310167370.0,445.6427729885057,571952420.0,821.7707183908046
2024-03-01,2024,327271930.0,439.88162634408604,382150450.0,513.6430779569893,709422380.0,953.5247043010753
2024-04-01,2024,302456050.0,420.07784722222226,373108570.0,518.2063472222222,675564620.0,938.2841944444444
2024-05-01,2024,352508280.0,473.8014516129032,416719980.0,560.1075,769228260.0,1033.9089516129031
2024-06-01,2024,287218220.0,398.91419444444443,347167410.0,482.17695833333335,634385630.0,881.0911527777778
2024-07-01,2024,315080580.0,423.49540322580646,355432190.0,477.731438172043,670512770.0,901.2268413978495
2024-08-01,2024,315896230.0,424.59170698924726,372631090.0,500.8482392473118,688527320.0,925.4399462365591
2024-09-01,2024,352266110.0,489.2584861111111,402609040.0,559.1792222222223,754875150.0,1048.4377083333334
2024-10-01,2024,318060620.0,427.50083333333333,384895810.0,517.3330779569892,702956430.0,944.8339112903225
2024-11-01,2024,321344573.0,446.3119069444445,381724500.0,530.1729166666667,703069073.0,976.4848236111111
2024-12-01,2024,364668470.0,490.1457930107527,423926990.0,569.7943413978495,788595460.0,1059.9401344086023
2025-01-01,2025,405434830.0,544.9392876344085,445106400.0,598.2612903225806,850541230.0,1143.200577956989
2025-02-01,2025,365608400.0,544.060119047619,400038260.0,595.2950297619047,765646660.0,1139.3551488095236
2025-03-01,2025,372620140.0,500.8335215053763,423481460.0,569.1955107526882,796101600.0,1070.0290322580645
2025-04-01,2025,323291570.0,449.01606944444444,393915720.0,547.1051666666667,717207290.0,996.1212361111111
2025-05-01,2025,392647420.0,527.7519086021506,452620400.0,608.360752688172,845267820.0,1136.1126612903226
2025-06-01,2025,335860210.0,466.4725138888889,393445863.0,546.4525874999999,729306073.0,1012.9251013888888
2025-07-01,2025,336883680.0,452.80064516129033,385522713.0,518.1756895161291,722406393.0,970.9763346774193
2025-08-01,2025,325207344.0,437.1066451612903,348244549.0,468.07063037634407,673451893.0,905.1772755376344
2025-09-01,2025,308777860.0,428.8581388888889,351045509.0,487.56320694444446,659823369.0,916.4213458333334
2025-10-01,2025,355799200.0,478.2247311827957,381235360.0,512.4131182795699,737034560.0,990.6378494623656
2025-11-01,2025,360585420.0,500.81308333333334,401678110.0,557.886263888889,762263530.0,1058.6993472222223
2025-12-01,2025,345178840.0,463.9500537634409,389633100.0,523.7004032258064,734811940.0,987.6504569892473
